# Stage 2 spawn table: frame,type,x,y
# frame is the game frame (60 fps); x,y is where the sprite enters.
# Types: Alien1, Alien2, Boss, PowerUp-SpeedUp, PowerUp-MultiShot
# Stage runs 18600 frames (5 min 10 s).
180,Alien1,960,410
199,Alien1,960,410
218,Alien1,960,410
237,Alien1,960,410
345,Alien1,960,184
364,Alien1,960,184
383,Alien1,960,184
402,Alien1,960,184
553,Alien1,960,270
568,Alien1,960,170
568,Alien1,960,370
583,Alien1,960,70
583,Alien1,960,470
600,PowerUp-SpeedUp,960,470
679,Alien2,960,270
694,Alien2,960,170
694,Alien2,960,370
709,Alien2,960,70
709,Alien2,960,470
838,Alien2,960,270
853,Alien2,960,170
853,Alien2,960,370
868,Alien2,960,70
868,Alien2,960,470
1027,Alien2,960,70
1027,Alien2,960,270
1027,Alien2,960,470
1193,Alien1,960,70
1193,Alien1,960,270
1193,Alien1,960,470
1346,Alien1,960,406
1364,Alien1,960,406
1382,Alien1,960,406
1400,Alien1,960,406
1520,Alien2,960,270
1535,Alien2,960,170
1535,Alien2,960,370
1550,Alien2,960,70
1550,Alien2,960,470
1671,Alien1,960,431
1689,Alien1,960,431
1707,Alien1,960,431
1725,Alien1,960,431
1850,PowerUp-MultiShot,960,70
1865,Alien1,960,270
1880,Alien1,960,170
1880,Alien1,960,370
1895,Alien1,960,70
1895,Alien1,960,470
2035,Alien1,960,365
2053,Alien1,960,365
2071,Alien1,960,365
2089,Alien1,960,365
2164,Alien1,960,270
2179,Alien1,960,170
2179,Alien1,960,370
2194,Alien1,960,70
2194,Alien1,960,470
2305,Alien2,960,336
2323,Alien2,960,336
2341,Alien2,960,336
2359,Alien2,960,336
2439,Alien2,960,270
2454,Alien2,960,170
2454,Alien2,960,370
2469,Alien2,960,70
2469,Alien2,960,470
2623,Alien1,960,270
2638,Alien1,960,170
2638,Alien1,960,370
2653,Alien1,960,70
2653,Alien1,960,470
2795,Alien1,960,346
2812,Alien1,960,346
2829,Alien1,960,346
2846,Alien1,960,346
2912,Alien1,960,270
2926,Alien1,960,170
2926,Alien1,960,370
2940,Alien1,960,70
2940,Alien1,960,470
3100,PowerUp-SpeedUp,960,370
3112,Alien2,960,150
3129,Alien2,960,150
3146,Alien2,960,150
3163,Alien2,960,150
3296,Alien2,960,270
3310,Alien2,960,170
3310,Alien2,960,370
3324,Alien2,960,70
3324,Alien2,960,470
3415,Alien1,960,70
3415,Alien1,960,203
3415,Alien1,960,336
3415,Alien1,960,470
3604,Alien2,960,270
3618,Alien2,960,170
3618,Alien2,960,370
3632,Alien2,960,70
3632,Alien2,960,470
3761,Alien2,960,138
3778,Alien2,960,138
3795,Alien2,960,138
3812,Alien2,960,138
3912,Alien1,960,270
3926,Alien1,960,170
